Title,Genre,Rating,Votes,Duration
Love Divided,Romance,6.0,4700,1h 38m
Love Story,Romance,5.5,416,2h 5m
I Can Never Be Yours,Romance,8.7,162,N/A
Langue Étrangère,Romance,6.7,527,1h 41m
Two to One,Romance,6.1,794,1h 56m
Futra Days,Romance,4.2,155,1h 39m
El Hawa Sultan,Romance,6.5,777,2h 16m
Freedom,Romance,5.9,1400,1h 50m
Still Fabulous,Romance,4.9,871,1h 32m
Murder Mubarak,Romance,5.8,51000,2h 20m
The Groomsmen: First Look,Romance,6.1,395,1h 22m
Savi,Romance,6.1,35000,2h 6m
Auron Mein Kahan Dum Tha,Romance,6.5,41000,2h 30m
Believe in Christmas,Romance,6.1,842,1h 30m
Gelin Takimi,Romance,3.6,3200,1h 49m
Rasavathi,Romance,6.4,578,2h 28m
We're All Gonna Die,Romance,8.2,96,1h 50m
C4 Cinta,Romance,8.0,148,2h 47m
Mascarpone: The Rainbow Cake,Romance,6.1,518,1h 45m
Breakup Season,Romance,6.3,598,1h 42m
Wild Wild Punjab,Romance,6.2,16000,1h 49m
The Time of Fever,Romance,8.0,695,1h 41m
Three Friends,Romance,6.6,779,1h 57m
Passport to Love,Romance,6.2,414,1h 28m
The Groomsmen Last Dance,Romance,6.9,357,N/A
5lbs of Pressure,Romance,5.2,1700,1h 51m
Else,Romance,6.0,249,1h 42m
City Hunter,Romance,6.3,5700,1h 42m
Haunted Heart,Romance,4.8,496,2h 8m
Her Story,Romance,7.6,1900,2h 3m
Phir Aayi Hasseen Dillruba,Romance,5.8,6900,2h 12m
Given 3: To the Sea,Romance,8.9,102,1h 20m
Umjolo: The Gone Girl,Romance,4.4,279,1h 32m
My Ex's Wedding,Romance,8.6,49,1h 35m
Amar Singh Chamkila,Romance,7.8,16000,2h 25m
Meet Me Next Christmas,Romance,5.7,8600,1h 45m
Timestalker,Romance,5.5,3000,1h 29m
Do Aur Do Pyaar,Romance,6.4,12000,2h 20m
Tillu Square,Romance,6.6,3400,2h 17m
A Brooklyn Love Story,Romance,6.4,110,1h 47m
The Air He Breathes,Romance,6.4,391,1h 46m
Siddharth Roy,Romance,6.3,2900,2h 28m
Música,Romance,6.4,5100,1h 31m
My Name Is Loh Kiwan,Romance,6.7,4400,2h 11m
Silent Love,Romance,6.4,402,1h 56m
Ibbani Tabbida Ileyali,Romance,7.4,851,2h 40m
Éden & Charlie,Romance,8.1,12,45m
Five Blind Dates,Romance,5.1,2000,1h 23m
Art of Love,Romance,4.6,2400,1h 39m
Guilty Pleasure,Romance,4.5,160,1h 59m
First Taste,Romance,5.8,303,1h 37m
Bad Newz,Romance,4.7,26000,2h 22m
A Christmas Castle Proposal: A Royal in Paradise 2,Romance,6.4,337,N/A
Karma's a Bitch,Romance,4.4,36,1h 29m
Ek Anjaan Rishtey Ka Guilt 3,Romance,7.9,68,1h 44m
Reversi,Romance,7.1,261,2h 15m
Undergrads,Romance,5.3,58,1h 6m
Love Wine & Salt: A Tuscan Romance,Romance,5.5,59,1h 20m
Previously Saved Version,Romance,5.4,443,1h 57m
Love Switch,Romance,6.1,257,1h 29m
Hold Me Close,Romance,5.6,47,1h 38m
Kang Mak,Romance,6.4,858,2h 2m
Goyo,Romance,6.6,2300,1h 46m
The Silence of Marcos Tremmer,Romance,5.9,174,1h 52m
He Loves Me Not,Romance,7.0,50,N/A
Don't Say It,Romance,9.0,66,N/A
Los pequeños amores,Romance,6.3,357,1h 35m
Mr. Manhattan,Romance,6.8,462,1h 50m
Angithee 3,Romance,8.0,62,1h 39m
Detective Conan: The Million-Dollar Pentagram,Romance,6.7,1500,1h 51m
Viva La Vida,Romance,7.5,853,2h 10m
Layla,Romance,6.1,411,1h 40m
Mai,Romance,6.8,1500,2h 11m
Perfect Endings,Romance,5.6,206,1h 40m
Hello Love Again,Romance,6.7,909,2h 2m
Greice,Romance,6.9,133,1h 50m
Ipar Adalah Maut,Romance,7.0,1300,2h 11m
She Taught Love,Romance,5.3,422,1h 42m
Mr. Bachchan,Romance,3.6,5300,2h 30m
Kacher Manush Dure Thuiya,Romance,7.8,1100,2h 24m
Naam,Romance,6.3,283,2h 16m
Maid of Honour,Romance,N/A,283,2h 29m
Dandelion,Romance,5.3,411,1h 53m
White Snake: Afloat,Romance,6.9,504,2h 13m
Pantaskah Aku Berhijab,Romance,7.9,69,1h 54m
Anyone But Her,Romance,4.9,292,1h 33m
Books & Drinks,Romance,5.4,136,1h 34m
Murphy,Romance,7.1,2400,2h 16m
A Circus Tale & a Love Song,Romance,6.0,108,1h 54m
The Everything Pot,Romance,7.5,35,1h 30m
Love at 39 Degrees,Romance,5.5,1400,1h 55m
Bed & Breakfast,Romance,6.1,212,1h 23m
Varshangalkku Shesham,Romance,6.6,4200,2h 46m
Shigatsu ni nareba kanojo wa,Romance,6.2,446,1h 48m
The Holiday Club,Romance,6.6,382,1h 28m
Now or Never!,Romance,2.2,17000,N/A
Kill Me If You Dare,Romance,4.6,1300,1h 34m
Love Lies,Romance,7.1,342,1h 54m
Sicilian Holiday,Romance,4.7,20,1h 42m
Svemu dodje kraj,Romance,6.4,351,1h 29m
When in Rome,Romance,6.1,760,1h 38m
Ask Mevsimi,Romance,4.9,390,2h 6m
Teasing Master Takagi-san Movie,Romance,6.6,328,1h 59m
Sweet Summer Love,Romance,6.5,68,1h 30m
Queens of Drama,Romance,6.3,207,1h 54m
Marry Christmas,Romance,6.6,63,1h 25m
A Toast to Love,Romance,5.7,133,1h 29m
Drained,Romance,4.5,321,1h 47m
Fake Boyfriend,Romance,9.0,18,1h 55m
Rajkumar,Romance,7.4,2700,2h 25m
Khwaabon Ka Jhamela,Romance,5.4,111,1h 53m
X & Y,Romance,7.4,16,1h 41m
Krista,Romance,5.7,53,58m
El Roomie,Romance,5.8,310,1h 39m
Bachhala Malli,Romance,8.2,3900,2h 20m
A Vintage Christmas,Romance,6.5,362,N/A
The Groomsmen: Second Chances,Romance,6.1,454,1h 24m
Azzamine,Romance,7.0,116,1h 44m
My Boo,Romance,6.1,710,2h 5m
Love Reddy,Romance,8.0,2300,2h 18m
No Pressure,Romance,5.1,1100,1h 51m
Aaram Aravinda Swamy,Romance,9.3,329,2h 12m
Samana Sunrise,Romance,5.0,231,1h 40m
LSD 2: Love Sex Aur Dhokha 2,Romance,3.8,2800,1h 59m
Atashi no!,Romance,7.4,5,1h 42m
Chanchal Haseena,Romance,7.4,36,1h 38m
Boys on Film 24: Happy Endings,Romance,7.0,29,2h 54m
Oshana,Romance,5.7,798,2h 29m
Christmas in the Spotlight,Romance,5.7,675,1h 27m
In Good Hands 2,Romance,5.3,985,1h 39m
Switch Up,Romance,8.6,29,1h 45m
Pure Love,Romance,7.1,190,1h 49m
Christmas Cowboy,Romance,5.6,136,N/A
Miracle Mile,Romance,8.8,30,1h 22m
Romeo,Romance,6.1,1300,2h 30m
Honeymoonish,Romance,5.3,1600,1h 40m
Happiness Is,Romance,3.8,302,1h 36m
The Holiday Exchange,Romance,5.6,414,1h 30m
Beauty and the Billionaire: Bali,Romance,5.8,220,1h 31m
Pasutri Gaje,Romance,6.0,348,1h 49m
A '90s Christmas,Romance,6.0,1100,1h 30m
Choices,Romance,N/A,1100,1h 27m
Pon Ondru Kanden,Romance,5.6,281,2h
Honey Money Phony,Romance,6.2,204,1h 55m
Ciao bambino,Romance,6.6,86,1h 40m
Across the Sea,Romance,6.5,78,1h 52m
Jatt & Juliet 3,Romance,5.4,1800,2h 15m
Life is Filled with So Much of You,Romance,7.2,71,1h 39m
Her Seyin Basi Merkür,Romance,2.8,163,1h 45m
Meet Me in Rome,Romance,5.2,687,1h 25m
Sex Love Venice,Romance,5.2,332,1h 42m
¿Quién quiere casarse con un Astronauta?,Romance,7.5,17,1h 34m
Trisha on the Rocks,Romance,5.2,3000,2h 52m
Liu mang qu mo shi,Romance,5.7,48,1h 44m
One Night in Tokyo,Romance,7.3,83,1h 35m
Premalo,Romance,7.3,1100,2h 8m
Chainsaws Were Singing,Romance,7.2,381,1h 57m
Miss You,Romance,6.1,3200,2h 8m
Shark Island,Romance,3.2,116,1h 21m
The Heartbreak Agency,Romance,5.3,736,1h 34m
Under Parallel Skies,Romance,5.6,835,1h 50m
O Melhor Amigo,Romance,7.2,71,1h 36m
Albany Road,Romance,7.6,111,2h 15m
Powder Pup,Romance,6.1,78,1h 29m
Love Sitara,Romance,5.3,303,1h 45m
Deyaler Desh,Romance,6.9,129,2h 19m
Meeting Ms. Leigh,Romance,9.0,80,1h 57m
Paper Flowers,Romance,8.7,35,1h 40m
Seré breve al momento de morir,Romance,5.8,41,1h 18m
Dreaming of You,Romance,8.7,48,1h 35m
Fruitcake,Romance,5.3,159,1h 37m
Love You to Debt,Romance,6.2,765,2h 15m
The Great Gujarati Matrimony,Romance,7.7,85,2h 24m
Love Me If You Dare,Romance,4.3,478,2h 8m
My Boyfriend Is a Sex Worker,Romance,5.4,17,50m
Onegin,Romance,7.0,1200,2h 21m
Alterlove,Romance,8.1,14,1h 30m
I Don't Know,Romance,N/A,14,1h 38m
The Private Eye,Romance,3.8,159,1h 55m
Rose Rosy Te Gulab,Romance,5.8,304,2h 15m
The Glory of Life,Romance,6.6,445,1h 38m
Perfect Match,Romance,6.6,339,1h 41m
Explosions in My Heart,Romance,6.9,37,1h 45m
Say a Little Prayer,Romance,8.6,46,1h 43m
Joli joli,Romance,5.5,121,1h 56m
The Proud Princess,Romance,6.5,131,1h 24m
Verliefd op Bali,Romance,5.0,303,1h 53m
The Mediterranean Sea,Romance,7.2,89,1h 48m
Lobola Man,Romance,4.6,211,1h 48m
Little Hearts,Romance,5.8,2200,2h 16m
Hearts Creek,Romance,5.8,124,1h 30m
Heartsping : Teenieping of Love,Romance,7.1,26,TV-Y
María Me Muero,Romance,5.1,112,1h 33m
Throuple,Romance,6.6,69,1h 32m
Un/Happy for You,Romance,5.6,399,1h 50m
Seven Seas Seven Hills,Romance,8.5,94,1h 30m
I Brake for Caterpillars,Romance,3.6,27,1h 33m
Petta Rap,Romance,4.2,1700,2h 3m
Pool & Party,Romance,2.7,254,1h 30m
Dhruvathaare,Romance,8.0,647,2h 45m
Oru Kattil Oru Muri,Romance,4.6,61,2h 5m
Maru Mann Taru Thayu,Romance,7.5,23,2h 33m
Shrek 5: The Contract - A Fan Made Film,Romance,7.0,20,1h 24m
Christmas at Plumhill Manor,Romance,6.1,504,1h 27m
Sevmek Yüzünden,Romance,3.6,647,1h 44m
Noche De Bodas,Romance,4.5,240,1h 30m
The Architecture of Love,Romance,6.9,501,1h 50m
Omenavarkaat,Romance,7.1,184,1h 24m
Love Is Never on Time,Romance,8.8,60,1h 50m
Paalum Pazhavum,Romance,4.9,179,2h 27m
Game On,Romance,5.2,2300,2h 20m
Stranded Pearl,Romance,6.0,27,1h 30m
A Merry Royal Christmas,Romance,5.3,153,1h 28m
Rabb Da Radio 3,Romance,6.8,7,2h 2m
Romance with My Vampire Brother,Romance,7.7,13,N/A
Love Unlike in K-Dramas,Romance,6.5,131,1h 58m
Him,Romance,7.2,22,1h 20m
Till Then Hanna!,Romance,6.1,311,1h 50m
Remember I am Dead,Romance,N/A,311,40m
Dilan 1983,Romance,6.4,235,1h 56m
Heavens x Candy,Romance,6.2,46,1h 10m
Love Li,Romance,6.4,13000,2h 48m
A European Christmas,Romance,4.7,196,1h 30m
Kisko Tha Pata,Romance,7.5,18,2h 15m
O2,Romance,6.6,7900,1h 45m
Writing a Love Song,Romance,6.7,189,1h 25m
Forbidden Love,Romance,7.6,29,1h 36m
Samudrudu,Romance,6.9,2000,2h 21m
What Happened in My Black Boyfriend's Room,Romance,5.4,9,1h 2m
Hi Anokhi Gaath,Romance,6.7,80,2h 6m
Elevator,Romance,5.1,170,1h 35m
Gili Gili Raat,Romance,5.7,12,1h 33m
Love... Reconsidered,Romance,4.2,137,1h 28m
Momma's Boy,Romance,3.8,48,1h 45m
Movie Given Hiiragi Mix.,Romance,7.6,208,1h 10m
À toute allure,Romance,5.4,209,1h 26m
Yesterday Is Almost Here,Romance,8.1,11,1h 32m
Moments We Shared,Romance,5.4,124,2h 11m
Midwinter,Romance,6.6,57,1h 35m
Young Lion of the West,Romance,5.2,108,1h 33m
L'heureuse élue,Romance,5.4,277,1h 31m
Super Happy Forever,Romance,6.8,209,1h 34m
Roti Kapda Romance,Romance,5.9,2500,2h 33m
Yuva,Romance,5.8,843,2h 33m
Letuchiy korabl,Romance,3.8,302,1h 40m
ISHQ (Don't Fall in Love),Romance,10,6,2h 11m
Maple Leaf Dreams,Romance,5.3,128,1h 41m
Saint Nick of Bethlehem,Romance,9.0,103,1h 33m
Kahan Shuru Kahan Khatam,Romance,6.1,3100,1h 47m
Amar Prem Ki Prem Kahani,Romance,4.4,656,1h 57m
Aku Jati Aku Asperger,Romance,7.8,81,1h 28m
Christmas in Lagos,Romance,4.7,179,2h
Zénithal,Romance,5.4,85,1h 20m
8 Views of Lake Biwa,Romance,5.2,131,2h 6m
Prabuthwa Junior Kalashala,Romance,7.0,2100,2h 11m
The Umesh Chronicles,Romance,8.5,13,N/A
Lolipop Gang,Romance,N/A,13,1h 30m
Sampai Jumpa Selamat Tinggal,Romance,6.6,7,1h 49m
Kupu-Kupu Kertas,Romance,6.5,210,1h 53m
Extraction USA,Romance,7.2,61,N/A
Kagojer Bou,Romance,6.0,29,1h 52m
We Are Faheem & Karun,Romance,9.1,65,1h 21m
Perdiendo el Juicio,Romance,7.6,20,1h 30m
Sihina Nelum Mal,Romance,8.0,34,1h 45m
The Day Before Christmas,Romance,8.1,61,N/A
Enchanting Christmas,Romance,6.4,360,1h 31m
The Love Buzz,Romance,5.7,165,1h 40m
In the Summer Rain,Romance,6.7,12,2h 9m
I Am the Secret in Your Heart,Romance,6.1,211,1h 52m
Yeni Hayat,Romance,2.9,36,2h 12m
Love Stuck,Romance,5.7,161,1h 56m
DeAr,Romance,5.1,1300,2h 12m
You Are Not Alone,Romance,6.2,71,1h 45m
Love Mouli,Romance,6.5,84,2h 26m
Aire Just Breathe,Romance,4.8,196,1h 38m
Holiday for Hire,Romance,5.8,195,1h 24m
Benaam Rishta,Romance,6.8,11,1h 30m
My Sassy Girl,Romance,5.0,137,1h 57m
Bigayan,Romance,6.2,45,43m
¿Vienes o Voy?,Romance,6.7,19,1h 34m
A Country Music Christmas,Romance,6.6,104,N/A
Christmas on the Ranch,Romance,6.1,137,1h 26m
Honeko Akabane's Bodyguards,Romance,5.9,41,1h 57m
Mi Perfecto Ex,Romance,7.6,19,1h 23m
Ram Bharosey,Romance,9.5,34,N/A
Emakku Thozhil Romance,Romance,4.8,130,1h 51m
Ahl Al Kahf,Romance,5.3,277,2h
Fool Me Once Revenge on You,Romance,7.0,10,N/A
Future Date,Romance,5.5,129,1h 22m
La Casa Azul,Romance,6.4,10,N/A
Assisting Venus,Romance,6.2,27,1h 40m
Jingle Bell Love,Romance,6.1,219,1h 21m
Looking for Dr. Love,Romance,6.0,131,1h 25m
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,Romance,6.0,85,2h 18m
Valentine's Town,Romance,5.2,196,1h 24m
Take Good Care,Romance,6.4,5,1h 41m
Bewafa Darling,Romance,8.6,14,56m
Seni Memahami Kekasih,Romance,8.0,62,1h 31m
Dao Pho Va Piano,Romance,5.8,210,1h 40m
A Bluegrass Christmas,Romance,6.0,239,1h 24m
Do I Shock U Like Lightning,Romance,8.6,26,1h 37m
Lyubvi ne byvaet?,Romance,5.4,161,1h 45m
3. Gun,Romance,3.8,145,N/A
A Teacher's Gift,Romance,8.8,5,N/A
Election,Romance,5.8,804,2h
Shooting My Life's Script,Romance,6.2,342,1h 35m
Raseeli Raatein,Romance,6.4,11,1h 31m
Visal Adare,Romance,6.0,146,2h
Le beau rôle,Romance,6.6,98,1h 24m
Valley of the Shadow of Death,Romance,5.2,18,1h 24m
How to Make Her Leave,Romance,N/A,18,N/A
Umjolo: Day Ones,Romance,4.1,161,1h 26m
Letters at Christmas,Romance,3.7,175,1h 24m
Four Singles,Romance,N/A,175,1h 3m
40,Romance,3.9,26,1h 43m
Me and My Victim,Romance,2.2,8,1h 40m
Bad Boy in Love,Romance,8.9,17,1h 31m
Marriage Mansion,Romance,8.6,25,Not Rated
The Property,Romance,7.4,57,1h 50m
Reloaded 2,Romance,7.6,1200,45m
The Lifeguards,Romance,3.8,143,1h 47m
Rent A Boyfriend,Romance,N/A,143,1h 18m
Double Blended,Romance,5.4,55,1h 27m
Sign Here,Romance,6.2,246,1h 40m
Go Noni Go,Romance,N/A,246,1h 54m
Günesi Söndürmem Gerek,Romance,3.6,191,1h 45m
Poppay Ki Wedding,Romance,8.7,79,2h 7m
Komandir,Romance,6.4,531,2h 11m
A Man's Promise,Romance,7.0,48,N/A
That Kind of Love,Romance,5.7,329,2h 16m
PAPmusic - Animation for Fashion,Romance,1.0,162,1h 25m
Welcome to My Side,Romance,7.2,93,1h 42m
Bar MoskvaChiki,Romance,5.1,106,1h 31m
36-24-36,Romance,6.0,225,1h 58m
Ondu Sarala Prema Kathe,Romance,7.6,717,2h 29m
Jee Ve Sohneya Jee,Romance,6.6,263,2h 21m
Unn Sawali,Romance,7.9,12,N/A
Funmilayo Ransome-Kuti,Romance,8.5,96,1h 31m
Love Syndrome: The Beginning,Romance,6.2,56,1h 30m
A Mountain Between Us,Romance,5.3,34,1h 29m
Babli,Romance,6.9,568,2h 14m
Touch,Romance,N/A,568,N/A
ON i Ona,Romance,4.6,79,1h 30m
Just the Two of Us,Romance,N/A,79,N/A
Ma chi ti conosce,Romance,5.9,140,1h 45m
Chances Are You and I,Romance,6.1,140,2h 12m
Ibiza Dark,Romance,8.4,18,1h 35m
A Ghetto Love Story,Romance,9.8,12,N/A
Vampire's House of Cain,Romance,3.8,18,N/A
A Soweto Love Story,Romance,4.4,285,1h 41m
Once Upon a Honeymoon,Romance,7.0,23,1h 49m
How to Make Love,Romance,2.8,12,1h 5m
Gingersnap Christmas,Romance,4.6,26,N/A
Christmas Overtime,Romance,5.3,26,1h 32m
Santa's Cousin,Romance,7.8,29,N/A
Pretty Boys,Romance,5.4,34,1h 7m
Joy of Horses,Romance,5.9,171,1h 30m
The Dancing Queen,Romance,4.6,23,N/A
Sihinayaki Adare,Romance,6.5,192,2h 30m
Ancika,Romance,6.8,807,1h 40m
Heartbreak Motel,Romance,7.0,310,1h 55m
Coven of the Black Cube,Romance,7.4,21,1h 37m
Meeting Funmi's Parents,Romance,8.7,17,N/A
Hrashwo Deergha,Romance,7.2,94,2h 30m
14 Days Love,Romance,6.9,11,1h 52m
A Thousand Faces,Romance,8.7,138,1h 25m
Black Owner and Horny College Girls,Romance,3.6,9,1h 5m
Kajolrekha,Romance,6.3,180,2h 36m
On the Market,Romance,4.0,8,1h 35m
Boda Love,Romance,7.2,17,1h 47m
Occupied,Romance,N/A,17,1h 17m
Gharjwai,Romance,7.3,877,2h 14m
Lady Outlaw,Romance,6.4,22,1h 44m
Hell City,Romance,9.1,27,1h 30m
Vaagai,Romance,7.9,176,1h 59m
Goreyan Naal Lagdi Zameen Jatt Di,Romance,7.8,28,1h 48m
Taboo,Romance,7.2,136,N/A
Could Have Waited for August,Romance,6.2,852,1h 52m
Nado snimat filmy o lyubvi,Romance,7.3,34,1h 13m
Skinny Love,Romance,8.2,96,1h 32m
Usha Parinayam,Romance,9.0,2100,2h 24m
Yumi's Cells: The Movie,Romance,6.2,53,1h 33m
Stalker,Romance,3.0,8,1h 31m
Majnoo,Romance,9.6,61,2h 3m
The Untold Story,Romance,6.1,22,N/A
Love Is Love,Romance,N/A,22,2h
Uang Panai' 2 Maha(r)l,Romance,7.7,42,1h 46m
My Crazy Rich Girlfriend,Romance,N/A,42,N/A
Uchi no Ototo domo ga Sumimasen,Romance,N/A,42,1h 45m
Nikdo me nemá rád,Romance,5.7,45,1h 24m
Addy Daddy,Romance,7.4,31,1h 58m
Hidden Flora,Romance,7.2,18,1h 33m
Yo no soy esa,Romance,4.9,285,1h 35m
Real Estate Sisters,Romance,4.2,30,1h 24m
