Title,Genre,Rating,Votes,Duration
Kanguva,Adventure,4.5,15000,2h 32m
Seeds,Adventure,5.0,197,1h 22m
This Too Shall Pass,Adventure,9.1,17,1h 45m
Woody Woodpecker Goes to Camp,Adventure,4.5,2600,1h 40m
Panda Bear in Africa,Adventure,5.5,360,1h 24m
Operation Blood Hunt,Adventure,3.4,503,1h 33m
Devil's Knight,Adventure,5.2,942,1h 30m
School of Magical Animals 3,Adventure,5.8,336,1h 45m
The Twisters,Adventure,2.5,357,1h 26m
At Her Feet,Adventure,7.2,50,1h 40m
Mong Vuot,Adventure,5.1,160,1h 36m
Rebellious,Adventure,6.1,220,1h 34m
Escape from the 21st Century,Adventure,6.5,934,1h 38m
Return to Wickensburg,Adventure,5.2,38,1h 28m
A Sloth Story,Adventure,5.6,222,1h 30m
Sixty Minutes,Adventure,5.7,5200,1h 28m
Autumn and the Black Jaguar,Adventure,5.6,1000,1h 40m
Diplodocus,Adventure,6.3,186,1h 30m
Going Viral,Adventure,8.3,299,1h 30m
Gracie and Pedro: Pets to the Rescue,Adventure,5.1,280,1h 27m
Eat the Night,Adventure,6.1,522,1h 46m
Cells at Work!,Adventure,6.7,315,1h 49m
200% Wolf,Adventure,5.9,1300,1h 38m
Operation: Raqqa,Adventure,5.5,273,1h 47m
The Last of Us: Immunity,Adventure,4.2,29,1h 4m
Empire Queen: The Golden Age of Magic,Adventure,3.1,208,2h 28m
Lumina,Adventure,2.2,680,1h 53m
Roadkill,Adventure,3.7,689,1h 30m
The Last Ronin,Adventure,4.9,586,1h 55m
Bionic,Adventure,4.3,1700,1h 50m
Ayalaan,Adventure,5.9,4000,2h 35m
No Time to Spy: A Loud House Movie,Adventure,6.4,477,1h 21m
The Casagrandes Movie,Adventure,5.6,682,1h 29m
War of the Worlds: Extinction,Adventure,3.0,210,1h 24m
The Traveller,Adventure,5.2,211,2h 14m
My Oni Girl,Adventure,6.0,1800,1h 52m
The Keepers of the 5 Kingdoms,Adventure,4.0,225,1h 49m
Unspeakable: Beyond the Wall of Sleep,Adventure,6.1,58,1h 30m
Alpha.,Adventure,6.9,254,1h 40m
The Waves of Madness,Adventure,5.8,92,1h 8m
The Kingdom,Adventure,6.8,123,2h 13m
Chuck Billy and the Marvelous Guava Tree,Adventure,7.4,1200,1h 30m
I Heart Robots,Adventure,4.5,2400,1h 16m
Dragon Ball Z Kai,Adventure,8.5,77,1h 22m
The Mountain,Adventure,6.6,161,1h 29m
Mobile Suit Gundam SEED Freedom,Adventure,6.6,971,2h 4m
WWII: Operation Phoenix,Adventure,5.7,95,1h 46m
My Fathers' Daughter,Adventure,6.5,81,1h 18m
Now or Never!,Adventure,2.2,17000,N/A
Pimpinero: Blood and Oil,Adventure,5.6,566,2h 1m
Captain Miller,Adventure,6.5,8600,2h 37m
Meanwhile on Earth,Adventure,6.0,941,1h 29m
My Freaky Family,Adventure,6.3,417,1h 26m
Guest from the Future,Adventure,6.0,1200,2h 21m
