Title,Genre,Rating,Votes,Duration
The Thicket,Drama,5.8,3300,1h 48m
Girl from the North Country,Drama,7.5,50,2h 32m
Caught by the Tides,Drama,6.6,1400,1h 51m
Back to Black,Drama,6.3,27000,2h 2m
Armand,Drama,6.2,3000,1h 58m
Hard Truths,Drama,7.2,5900,1h 37m
Lilies Not for Me,Drama,7.1,507,1h 39m
Being Maria,Drama,6.1,685,1h 40m
Goodrich,Drama,6.3,5600,1h 50m
Under Paris,Drama,5.2,37000,1h 44m
Holy Cow,Drama,7.1,2100,1h 32m
Rebel Moon - Part Two: The Scargiver,Drama,5.3,60000,2h 2m
Die Alone,Drama,5.7,3600,1h 30m
Eephus,Drama,6.9,895,1h 39m
Souleymane's Story,Drama,7.6,3500,1h 33m
Joy,Drama,7.1,9700,1h 55m
Absolution,Drama,5.2,8500,1h 52m
Ghostlight,Drama,7.6,6200,1h 55m
The Forge,Drama,6.7,5000,2h 4m
Unstoppable,Drama,6.8,4300,1h 56m
Kishkindha Kaandam,Drama,8.0,12000,2h 13m
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,Drama,6.2,1300,1h 42m
My Dead Friend Zoe,Drama,6.6,2500,1h 43m
Canary Black,Drama,5.4,12000,1h 41m
The Children's Train,Drama,7.4,7500,1h 46m
Young Woman and the Sea,Drama,7.5,17000,2h 9m
The Code,Drama,6.1,168,1h 38m
Reagan,Drama,6.1,11000,2h 21m
Dìdi,Drama,7.3,13000,1h 33m
Monsieur Aznavour,Drama,7.3,2600,2h 13m
Lonely Planet,Drama,5.7,12000,1h 34m
The Girl in the Pool,Drama,4.3,1500,1h 29m
Tina,Drama,8.2,500,2h 4m
Oh Canada,Drama,5.6,2200,1h 31m
Millers in Marriage,Drama,5.3,450,1h 57m
Loveable,Drama,7.7,2200,1h 41m
Four Letters of Love,Drama,6.8,42,2h 5m
Love Me,Drama,5.1,2600,1h 31m
Amaran,Drama,8.1,19000,2h 47m
Bob Marley: One Love,Drama,6.2,35000,1h 47m
The Master and Margarita,Drama,7.2,4800,2h 36m
Ponyboi,Drama,5.8,310,1h 43m
Saripodhaa Sanivaaram,Drama,7.0,9500,2h 46m
Motel Destino,Drama,6.5,1900,1h 55m
Grand Tour,Drama,6.5,2000,2h 9m
Scoop,Drama,6.5,20000,1h 42m
On Becoming a Guinea Fowl,Drama,7.1,1000,1h 39m
Universal Language,Drama,7.0,1700,1h 29m
Unsung Hero,Drama,7.0,5100,1h 53m
Damaged,Drama,4.7,7500,1h 37m
My Penguin Friend,Drama,6.8,5500,1h 37m
Baby,Drama,7.3,631,1h 47m
Look Back,Drama,7.8,15000,58m
The Tearsmith,Drama,5.2,13000,1h 43m
The Devil's Bath,Drama,6.6,6500,2h 1m
A Mistake,Drama,5.6,895,1h 41m
Poison,Drama,6.4,288,1h 26m
The Most Precious of Cargoes,Drama,7.1,1300,1h 21m
Armor,Drama,3.6,4300,1h 29m
Cabrini,Drama,7.3,9000,2h 22m
Distant,Drama,5.7,3400,1h 27m
Lilly,Drama,8.1,121,1h 33m
No Way Up,Drama,4.6,11000,1h 30m
Touch,Drama,7.4,5700,2h 1m
Sex,Drama,6.5,1300,1h 58m
Bedspacer,Drama,4.4,357,1h 30m
Pune Highway,Drama,7.9,20,2h 1m
Dreams (Sex Love),Drama,7.5,611,1h 50m
The Shameless,Drama,5.8,281,1h 54m
Misericordia,Drama,6.8,2300,1h 44m
Do Patti,Drama,6.4,69000,2h 6m
In Her Place,Drama,6.2,3200,1h 36m
Restless,Drama,6.7,203,1h 29m
Boneyard,Drama,4.1,5100,1h 36m
Omni Loop,Drama,5.6,3100,1h 52m
Waves,Drama,8.0,1900,2h 11m
When Fall Is Coming,Drama,6.9,2100,1h 44m
Killer Heat,Drama,5.6,14000,1h 35m
Mon Potongo,Drama,6.7,422,2h 29m
Succubus,Drama,4.6,1300,1h 43m
Watchmen: Chapter I,Drama,7.1,6800,1h 23m
Crayon Shin-chan: Ora's Dinosaur Diary,Drama,6.6,538,1h 46m
Harvest,Drama,6.1,412,2h 11m
11 Rebels,Drama,6.2,552,2h 35m
Blackwater Lane,Drama,4.6,2200,1h 48m
Goebbels and the Führer,Drama,6.7,2400,2h 15m
Santosh,Drama,7.1,2300,2h 8m
Mother of the Bride,Drama,4.8,17000,1h 28m
Mor Chhainha Bhuinya 2,Drama,8.5,95,2h 40m
Sikandar Ka Muqaddar,Drama,6.0,24000,2h 22m
Uprising,Drama,6.6,5700,2h 6m
Doraemon the Movie: Nobita's Earth Symphony,Drama,6.6,1500,1h 55m
Girls Will Be Girls,Drama,7.1,2600,1h 58m
Meiyazhagan,Drama,8.4,15000,2h 57m
Baby John,Drama,5.2,17000,2h 39m
Marco,Drama,6.8,22000,2h 25m
Stelios,Drama,7.3,1500,2h 12m
Suncoast,Drama,6.7,7400,1h 49m
Grafted,Drama,5.6,2500,1h 36m
Waltzing with Brando,Drama,8.3,332,1h 44m
Teri Baaton Mein Aisa Uljha Jiya,Drama,6.2,54000,2h 21m
Audrey's Children,Drama,7.1,415,1h 50m
First Shift,Drama,4.5,2100,1h 29m
Sujo,Drama,7.1,883,2h 6m
Bir Cumhuriyet Sarkisi,Drama,7.5,1200,2h 8m
Barron's Cove,Drama,8.6,43,1h 56m
The Piano Lesson,Drama,6.2,5000,2h 7m
The Fire Inside,Drama,6.7,2700,1h 49m
Sons,Drama,6.4,2100,1h 40m
All of You,Drama,7.3,82,1h 38m
Hounds of War,Drama,4.5,2000,1h 35m
Love,Drama,7.3,463,1h 59m
My Favourite Cake,Drama,7.4,7500,1h 37m
Manas,Drama,7.8,152,1h 41m
Winner,Drama,6.5,2600,1h 43m
The Greatest Hits,Drama,6.2,7600,1h 34m
Out of My Mind,Drama,7.4,2800,1h 42m
The New Year That Never Came,Drama,8.2,5300,2h 18m
Hold Your Breath,Drama,5.3,8800,1h 34m
Faith of Angels,Drama,5.8,265,1h 38m
Happyend,Drama,7.0,738,1h 53m
Sector 36,Drama,7.1,25000,2h 3m
The Empire,Drama,5.2,1300,1h 50m
My Future You,Drama,7.4,205,1h 49m
Sebastian,Drama,6.7,1900,1h 50m
Striking Rescue,Drama,5.6,620,1h 51m
Maldoror,Drama,6.9,768,2h 35m
When the Light Breaks,Drama,6.7,1100,1h 22m
Bookworm,Drama,6.0,2000,1h 43m
Manjummel Boys,Drama,8.2,28000,2h 15m
The Astronaut Lovers,Drama,7.1,825,1h 56m
Hey Joe,Drama,6.4,353,1h 57m
Daniela Forever,Drama,6.1,228,1h 53m
Sound of Hope: The Story of Possum Trot,Drama,7.2,2200,2h 10m
Lollipop,Drama,7.4,29,1h 40m
One of Those Days When Hemme Dies,Drama,6.5,403,1h 23m
Rob Peace,Drama,6.5,2200,2h
Reading Lolita in Tehran,Drama,6.3,478,1h 48m
High Tide,Drama,6.7,621,1h 41m
Inside,Drama,7.1,260,1h 44m
Diamanti,Drama,6.8,1500,2h 15m
Crossing,Drama,7.4,5300,1h 46m
Love in the Big City,Drama,7.4,1600,1h 58m
Justice League: Crisis on Infinite Earths - Part Three,Drama,6.1,4700,1h 34m
Private Tutor,Drama,4.9,208,1h 5m
The Great Lillian Hall,Drama,7.3,2000,1h 50m
The Wailing,Drama,6.1,1300,1h 47m
You Are the Apple of My Eye,Drama,7.1,3600,1h 41m
The Black Hole,Drama,6.1,194,1h 55m
Cloud,Drama,6.3,1300,2h 4m
Sarfira,Drama,6.9,11000,2h 35m
Watchmen: Chapter II,Drama,7.0,3300,1h 30m
Jigra,Drama,6.0,24000,2h 33m
April,Drama,6.5,456,2h 14m
Through My Window: Looking at You,Drama,5.4,5400,1h 45m
Here After,Drama,4.1,1600,1h 33m
Longing,Drama,4.7,862,1h 51m
Devara Part 1,Drama,6.0,21000,2h 56m
Chosen Family,Drama,4.8,478,1h 28m
Bramayugam,Drama,7.8,14000,2h 19m
Life After Fighting,Drama,6.4,2100,2h 6m
Shaitaan,Drama,6.5,55000,2h 12m
Singham Again,Drama,4.7,75000,2h 24m
From Hilde with Love,Drama,6.9,1000,2h 5m
Depravity,Drama,4.3,1100,1h 57m
Top 1,Drama,5.4,222,52m
Boss Ma'am,Drama,4.8,185,1h 7m
The Kingdom,Drama,6.9,964,1h 52m
Badland Hunters,Drama,5.9,12000,1h 47m
The Goat Life,Drama,7.1,48000,2h 53m
No Chains No Masters,Drama,6.4,618,1h 38m
Mary,Drama,5.2,8300,1h 52m
Pani,Drama,6.9,3200,2h 23m
Midas Man,Drama,6.4,1700,1h 52m
Let Go,Drama,7.0,6600,1h 50m
On Falling,Drama,7.3,751,1h 44m
The Family Star,Drama,5.4,5600,2h 39m
Justice,Drama,6.3,4000,1h 53m
Sweet Dreams,Drama,5.4,1400,1h 35m
Wild Diamond,Drama,6.3,776,1h 43m
The Price of Money: A Largo Winch Adventure,Drama,5.1,1200,1h 40m
Saint-Exupéry,Drama,5.4,420,1h 38m
Treasure,Drama,6.3,2100,1h 51m
Darkest Miriam,Drama,5.8,279,1h 27m
Pedro Páramo,Drama,6.3,3100,2h 10m
Colors of Evil: Red,Drama,6.4,8600,1h 51m
Simarik,Drama,6.6,3000,1h 51m
Men Are from QC Women Are from Alabang,Drama,5.3,193,1h 49m
The Corpse Washer,Drama,6.2,1300,1h 47m
Feste & Freunde - Ein Hoch auf uns!,Drama,6.8,200,1h 47m
Before We Forget,Drama,7.6,133,1h 48m
The Summer Book,Drama,7.0,365,1h 30m
The Damned,Drama,5.4,889,1h 29m
Anweshippin Kandethum,Drama,7.4,10000,2h 22m
Bibi Rajni,Drama,8.5,724,2h 23m
Code 8: Part II,Drama,5.7,16000,1h 40m
The Best Christmas Pageant Ever,Drama,6.8,6200,1h 39m
The Last Dance,Drama,7.7,2600,2h 6m
The Supremes at Earl's All-You-Can-Eat,Drama,6.4,1500,2h 4m
September Says,Drama,6.3,574,1h 40m
Khel Khel Mein,Drama,6.5,27000,2h 15m
Bambi: A Tale of Life in the Woods,Drama,5.6,223,1h 18m
Init,Drama,4.8,230,49m
Handling the Undead,Drama,5.3,4500,1h 37m
Crew,Drama,5.8,37000,1h 58m
Another End,Drama,6.4,775,1h 59m
Room Service,Drama,3.8,310,47m
Rez Ball,Drama,6.3,2500,1h 51m
Three Kilometres to the End of the World,Drama,7.1,1000,1h 45m
Lola,Drama,3.8,1200,1h 24m
Kiskisan,Drama,5.2,149,1h 2m
The Lost Holliday,Drama,1.6,359,1h 36m
House of Spoils,Drama,5.0,3900,1h 41m
Sensei no Shiroi Uso,Drama,6.3,56,1h 57m
Hagen,Drama,6.0,1300,2h 19m
TL,Drama,4.3,183,46m
Escape from Germany,Drama,5.4,1000,1h 37m
An Unfinished Film,Drama,7.2,667,1h 47m
Despatch,Drama,4.4,4400,2h 33m
The Courier,Drama,6.0,4500,1h 41m
Exhibiting Forgiveness,Drama,7.0,1300,1h 57m
Haikyu!! The Dumpster Battle,Drama,7.7,6400,1h 25m
Los Frikis,Drama,6.7,852,1h 51m
Palipat-lipat papalit-palit,Drama,5.1,249,1h 30m
Uranus 2324,Drama,6.4,4900,2h 10m
The Mehta Boys,Drama,7.1,2700,1h 56m
Blue Cave,Drama,5.6,6600,1h 28m
Little Death,Drama,5.4,208,1h 50m
The Beautiful Game,Drama,6.3,8100,2h 5m
The Boy with Pink Trousers,Drama,6.7,920,1h 54m
Madgaon Express,Drama,7.0,41000,2h 23m
E.1027 - Eileen Gray and the House by the Sea,Drama,6.9,117,1h 29m
Wonderland,Drama,6.2,2400,1h 53m
The Exiles,Drama,7.0,67,1h 50m
The Last Front,Drama,5.5,623,1h 38m
Nutcrackers,Drama,5.5,9400,1h 44m
Dilig,Drama,4.0,280,45m
Rita,Drama,4.5,431,1h 55m
Limonov: The Ballad of Eddie,Drama,5.9,1000,2h 18m
The Southern Chronicles,Drama,8.7,2700,2h
Vulcanizadora,Drama,6.7,150,1h 25m
Salawahan,Drama,5.2,473,1h 56m
Desert of Namibia,Drama,6.6,320,2h 17m
Diva Futura,Drama,6.3,276,2h 5m
Last Night on Earth,Drama,4.7,381,1h 26m
Macbeth,Drama,8.0,155,2h 36m
Stormskerry Maja,Drama,7.7,2300,2h 44m
The Wages of Fear,Drama,4.6,4200,1h 44m
The Hungarian Dressmaker,Drama,6.2,146,2h 9m
Black Creek,Drama,9.4,22,1h 56m
Big World,Drama,7.3,1400,2h 11m
Chandu Champion,Drama,7.8,34000,2h 22m
Parallel,Drama,5.3,2000,1h 28m
My Fault,Drama,4.2,7100,2h
Serpent's Path,Drama,5.8,298,1h 52m
Article 370,Drama,7.8,25000,2h 38m
The Freshly Cut Grass,Drama,6.1,126,1h 54m
The Sabarmati Report,Drama,6.4,25000,2h 7m
A Beautiful Imperfection,Drama,6.3,660,1h 48m
In the Summers,Drama,6.5,1000,1h 35m
F-Buddies,Drama,4.6,153,53m
Butas,Drama,5.0,167,1h 52m
Drawing Closer,Drama,7.6,2700,1h 58m
Same Old West,Drama,7.7,248,1h 38m
Shepherds,Drama,7.2,344,1h 53m
U Are the Universe,Drama,7.6,341,1h 30m
This Is Me... Now,Drama,4.1,7200,1h 5m
Corina,Drama,7.0,553,1h 36m
The Strangers' Case,Drama,9.3,8400,1h 43m
Ghost Trail,Drama,6.6,903,1h 46m
Stag,Drama,5.4,471,1h 27m
Wanted: Girlfriend,Drama,4.1,231,49m
I Wish You All the Best,Drama,6.8,78,1h 32m
Kyuka: Before Summer's End,Drama,6.3,222,1h 43m
Khadaan,Drama,7.1,2200,2h 17m
King Ivory,Drama,7.1,76,2h 10m
Sucha Soorma,Drama,6.3,938,2h 16m
Katas,Drama,4.7,269,1h 41m
Ghost Cat Anzu,Drama,6.5,831,1h 37m
The Other Way Around,Drama,6.4,1600,1h 54m
The Swedish Torpedo,Drama,6.3,185,2h
Naples to New York,Drama,7.0,867,2h 4m
Hear Me: Our Summer,Drama,7.5,822,1h 49m
Unexplainable,Drama,7.1,286,1h 56m
And Their Children After Them,Drama,6.4,573,2h 26m
Bau: Artist at War,Drama,7.2,62,2h 10m
Viduthalai Part 2,Drama,7.8,16000,2h 50m
The Glassworker,Drama,7.3,1800,1h 38m
Ulajh,Drama,6.0,24000,2h 30m
Viet and Nam,Drama,6.3,504,2h 9m
Maidaan,Drama,7.9,23000,3h 1m
Kabitan,Drama,4.8,129,1h 4m
Guntur Kaaram,Drama,5.4,25000,2h 39m
Tendaberry,Drama,6.5,213,1h 55m
McVeigh,Drama,4.4,570,1h 30m
Vettaiyan,Drama,7.0,40000,2h 43m
The Colors Within,Drama,7.1,1100,1h 41m
Four Mothers,Drama,7.3,237,1h 29m
I Love You Forever,Drama,5.7,199,1h 29m
Maharaj,Drama,6.5,15000,2h 11m
Jaaiye Aap Kahan Jaayenge,Drama,7.5,43,1h 59m
The Greatest,Drama,7.2,127,1h 54m
Bureau 749,Drama,4.0,563,2h 3m
Memories of a Burning Body,Drama,6.6,345,1h 30m
American Star,Drama,5.5,2500,1h 47m
Drie dagen vis,Drama,7.4,273,1h 25m
Atatürk II: 1881-1919,Drama,8.9,2200,2h 21m
Decoded,Drama,5.7,451,2h 36m
Uch Qahramon,Drama,8.5,77,N/A
Race for Glory: Audi vs. Lancia,Drama,5.8,4900,1h 49m
Dying,Drama,7.4,1800,3h
And the Breadwinner Is...,Drama,6.7,281,2h 3m
Srikanth,Drama,7.4,14000,2h 14m
Ambajipeta Marriage Band,Drama,6.6,798,2h 24m
CTRL,Drama,6.2,6200,1h 39m
Cult Killer,Drama,4.8,2800,1h 45m
Jazzy,Drama,6.0,205,1h 26m
The Witch: Revenge,Drama,5.3,853,1h 40m
Bohurupi,Drama,8.0,1600,2h 35m
A Little Family Drama,Drama,7.3,202,1h 27m
Niki,Drama,6.0,396,1h 38m
Blue Lock: Episode Nagi,Drama,6.6,2600,1h 31m
A.R.M,Drama,7.1,8800,2h 30m
The Flood,Drama,6.3,329,1h 41m
B.O.Y.: Bruises of Yesterday,Drama,7.5,412,1h 27m
Ashes,Drama,4.3,2600,1h 40m
Toxic,Drama,6.9,616,1h 39m
The Dead Thing,Drama,4.7,976,1h 34m
Reputation,Drama,9.1,11,1h 23m
Quisling: The Final Days,Drama,7.1,1200,2h 26m
El 47,Drama,7.2,3500,1h 50m
Bosco,Drama,5.5,4000,1h 39m
