Title,Genre,Rating,Votes,Duration
Spin the Bottle,Horror,3.5,988,2h 4m
Beezel,Horror,4.8,1400,1h 21m
Saint Catherine,Horror,4.3,139,1h 26m
The Bunker,Horror,4.3,322,1h 32m
Queen of Bones,Horror,4.8,233,1h 30m
Baby Invasion,Horror,4.7,530,1h 20m
Dark Match,Horror,5.4,991,1h 34m
Munkar,Horror,5.2,537,1h 27m
Rippy,Horror,4.2,933,1h 23m
Destroy All Neighbors,Horror,5.3,2100,1h 25m
#AMFAD: All My Friends Are Dead,Horror,4.5,1300,1h 31m
Solitude,Horror,6.5,37,1h 37m
Invasive,Horror,5.6,781,1h 37m
Hide N Seek,Horror,8.8,2200,2h 14m
Handsome Guys,Horror,6.5,917,1h 41m
Shelby Oaks,Horror,5.9,250,1h 39m
Bloodline Killer,Horror,4.2,4900,1h 45m
Carved,Horror,4.4,2800,1h 35m
Bureau 749,Horror,4.0,563,2h 3m
Little Bites,Horror,4.6,1300,1h 45m
Terminator: Skynet Rising,Horror,6.6,272,1h 28m
Parvulos,Horror,6.7,347,1h 59m
The Witch: Revenge,Horror,5.3,854,1h 40m
Hell Hole,Horror,4.4,1300,1h 32m
Crescent City,Horror,3.9,1400,1h 43m
The Dead Thing,Horror,4.7,976,1h 34m
Please Don't Feed the Children,Horror,5.5,68,1h 34m
The Curse of the Necklace,Horror,4.5,1100,1h 39m
Ick,Horror,5.6,207,1h 27m
Something in the Water,Horror,4.1,4900,1h 26m
Do Not Enter,Horror,5.3,635,1h 25m
Cinderella's Revenge,Horror,3.8,1200,1h 25m
A Fisherman's Tale,Horror,6.1,136,1h 43m
Year 10,Horror,5.4,1900,1h 36m
Cinderella's Curse,Horror,3.3,1300,1h 22m
Are You There?,Horror,6.6,62,1h 28m
Out Come the Wolves,Horror,4.7,1600,1h 26m
Swap,Horror,2.9,352,1h 26m
Goldilocks and the Three Bears: Death and Porridge,Horror,2.1,1800,1h 22m
Grave Torture,Horror,6.2,3000,1h 57m
Love Me Dead,Horror,6.7,42,1h 27m
Latency,Horror,4.2,2800,1h 34m
Street Trash,Horror,4.5,915,1h 25m
Death's Sonata,Horror,7.9,337,1h 43m
Seven Cemeteries,Horror,4.6,641,1h 24m
Angels Fallen: Warriors of Peace,Horror,4.8,5800,1h 43m
Death Whisperer 2,Horror,6.3,1500,1h 50m
Krazy House,Horror,4.8,1500,1h 29m
Wind and Bone,Horror,6.1,14,1h 33m
Soul Reaper,Horror,5.8,302,1h 52m
#MissingCouple,Horror,5.3,685,1h 33m
Turno Nocturno,Horror,5.3,637,1h 47m
We Are Wolves,Horror,3.4,265,1h 37m
Murder Mubarak,Horror,5.8,51000,2h 20m
Succubus,Horror,3.5,862,1h 36m
Bogieville,Horror,5.5,326,1h 48m
Orang Ikan,Horror,6.2,76,1h 23m
The Jack in the Box Rises,Horror,4.1,805,1h 32m
1978,Horror,5.4,248,1h 16m
The Devil's Disciples,Horror,8.7,41,1h 22m
Desert Road,Horror,6.8,165,1h 30m
Crackcoon,Horror,3.6,432,1h 28m
Pins & Needles,Horror,5.8,7,N/A
Invader,Horror,5.7,67,1h 10m
12 to Midnight,Horror,3.6,289,1h 36m
Within the Pines,Horror,6.7,17,1h 13m
Cellphone,Horror,3.0,738,1h 28m
Camp Pleasant Lake,Horror,3.3,2400,1h 30m
Jimmy and Stiggs,Horror,5.9,73,1h 20m
Strange Harvest,Horror,6.7,68,1h 34m
Butchers Book Two: Raghorn,Horror,4.1,632,1h 28m
The Stalking,Horror,3.5,48,1h 12m
The Little Mermaid,Horror,3.5,202,1h 29m
Seeds,Horror,5.0,197,1h 22m
The Demon Disorder,Horror,4.8,1300,1h 26m
Else,Horror,6.0,249,1h 42m
Uninvited,Horror,5.5,110,1h 33m
Model House,Horror,4.0,1100,1h 25m
Another Cabin in the Woods Movie,Horror,4.8,216,1h 17m
Sorop,Horror,5.4,206,1h 43m
Believer,Horror,4.6,417,1h 48m
Cora,Horror,4.6,923,1h 44m
The Family Business,Horror,8.7,29,1h 29m
Peripheral,Horror,8.8,25,1h 28m
Operation Blood Hunt,Horror,3.4,503,1h 33m
DarkGame,Horror,4.6,2900,1h 40m
Festival of the Living Dead,Horror,4.3,662,1h 28m
House of Ashes,Horror,7.0,34,1h 35m
Noise,Horror,6.0,61,1h 35m
Butchers Book Three: Bonesaw,Horror,5.2,103,1h 47m
The Vampire Next Door,Horror,4.6,779,1h 50m
X Files,Horror,2.2,66,1h 14m
Devils Stay,Horror,4.9,307,1h 35m
You Can't Run Forever,Horror,4.5,4400,1h 42m
Amityville: Where the Echo Lives,Horror,1.5,404,1h 29m
Watch Us Kill,Horror,6.7,50,N/A
Ghost Game,Horror,3.4,332,1h 26m
Mom,Horror,5.2,199,1h 35m
.ask,Horror,6.8,64,1h 29m
A Hell of a Difference,Horror,5.1,34,1h 20m
The Mortician,Horror,N/A,34,16+
Mutants of Nature Cove,Horror,3.5,154,1h 28m
Hauntology,Horror,3.6,361,1h 43m
Deadly Retreat,Horror,5.3,94,46m
Nyctophobia,Horror,7.2,1800,1h 30m
Consumed,Horror,3.7,622,1h 29m
Pacific Fear,Horror,3.4,228,1h 25m
Somnium,Horror,8.5,47,1h 32m
Down Below,Horror,2.6,193,1h 33m
Heresy,Horror,6.9,308,1h 1m
Strange Frequencies: Taiwan Killer Hospital,Horror,6.5,61,1h 31m
Creep Encounters,Horror,4.2,119,1h 12m
Stream,Horror,4.2,28,1h 25m
Animale,Horror,5.9,320,1h 38m
Pigman,Horror,3.2,102,1h 38m
Riders,Horror,6.4,501,1h 45m
The Ceremony Is About to Begin,Horror,4.4,595,1h 10m
Thaghut,Horror,5.8,318,1h 42m
The Forbidden Camp: Mass Possession,Horror,6.1,340,1h 52m
Black,Horror,7.1,2800,1h 55m
Hunting Matthew Nichols,Horror,8.8,46,1h 36m
The Lost Daughter,Horror,5.8,303,1h 39m
The Legend of Lake Hollow,Horror,3.8,531,1h 28m
Heretics,Horror,5.9,39,1h 23m
The Hangman,Horror,3.3,1000,1h 32m
Went Up the Hill,Horror,6.7,81,1h 40m
Lumina,Horror,2.2,680,1h 53m
Slay,Horror,6.5,1200,1h 39m
Poison Sangga: The Homewrecker's Curse,Horror,6.8,336,1h 58m
Monster on a Plane,Horror,5.1,2300,1h 28m
A Herança,Horror,5.4,214,1h 20m
Haunt Season,Horror,4.9,806,1h 21m
Haunted Universities 3,Horror,5.4,319,1h 59m
Killer Body Count,Horror,4.7,665,1h 49m
Cocaine Werewolf,Horror,2.4,306,1h 20m
Kang Mak,Horror,6.4,858,2h 2m
Solvent,Horror,7.3,428,1h 34m
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,Horror,7.9,139,6h 3m
Mononoke the Movie: The Phantom in the Rain,Horror,6.8,1300,1h 29m
Alyad Palyad,Horror,6.8,1200,2h 9m
Curse of the Seven Oceans,Horror,5.6,482,1h 34m
Bystanders,Horror,3.9,337,1h 22m
A Stranger in the Woods,Horror,5.0,702,1h 23m
What Lurks Beneath,Horror,4.3,793,1h 42m
La Patasola,Horror,2.6,63,1h 32m
Curse of the Naked Ghost Hunters,Horror,5.1,13,35m
Territory,Horror,4.7,88,1h 33m
Freelance,Horror,4.9,362,1h 50m
HMM Hug Me More,Horror,7.9,1100,1h 42m
Claws,Horror,N/A,1100,1h 36m
The Train of Death,Horror,4.7,708,1h 43m
In Our Blood,Horror,6.9,47,1h 29m
Mother Goose's ScaryTales,Horror,6.3,7,54m
Siccin 7,Horror,4.0,980,1h 34m
Dancing Village: The Curse Begins,Horror,5.7,4200,2h 2m
What Happened to Suzy,Horror,6.4,81,1h 34m
Unspeakable: Beyond the Wall of Sleep,Horror,6.1,58,1h 30m
Test Screening,Horror,6.9,67,1h 32m
Scared to Death,Horror,6.4,33,1h 38m
The Waves of Madness,Horror,5.8,92,1h 8m
Cadi,Horror,6.4,4400,2h 14m
Jhamkudi,Horror,6.6,983,2h 31m
Wanita Ahli Neraka,Horror,5.1,278,1h 35m
