Title,Genre,Rating,Votes,Duration
Powder Pup,Family,6.1,78,1h 29m
Love Sitara,Family,5.3,303,1h 45m
Paper Flowers,Family,8.7,35,1h 40m
Like a Rolling Stone,Family,7.7,479,1h 46m
Babah,Family,6.6,180,2h 9m
Storm Crashers,Family,6.2,569,1h 28m
Niko: Beyond the Northern Lights,Family,6.2,346,1h 26m
Kardes Takimi,Family,3.5,567,1h 35m
Little Emma,Family,5.8,125,1h 46m
Vaar Tahevaar,Family,7.8,284,2h 7m
Father There is Only One 4,Family,5.2,634,1h 30m
Kid Santa,Family,N/A,634,N/A
Juliette au printemps,Family,6.4,273,1h 35m
Wedding Diaries,Family,8.9,2000,2h 1m
Nadanna Sambhavam,Family,5.8,1400,2h
Grrr...,Family,4.0,828,2h 1m
The Proud Princess,Family,6.5,131,1h 24m
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Family,7.2,25,1h 30m
Heartsping : Teenieping of Love,Family,7.1,26,TV-Y
The Big Trip 3: Race Around the World,Family,5.6,65,1h 25m
Dedh Bigha Zameen,Family,6.9,762,1h 40m
We Believe,Family,3.4,15,N/A
Akiko der fliegende Affe,Family,8.1,17,1h 10m
Windcatcher,Family,5.3,411,1h 20m
Peppa's Cinema Party,Family,4.9,155,1h 5m
Double Tuckerr,Family,4.9,1200,2h
The Legend of Catclaws Mountain,Family,3.4,174,1h 44m
Domovyonok Kuzya,Family,6.5,832,1h 30m
Nanak Naam Jahaz Hai,Family,9.1,15,2h 20m
The Lost Tiger,Family,7.8,47,1h 30m
Lucy and the Lake Monster,Family,8.8,38,N/A
Dance Rivals,Family,5.9,73,1h 33m
Ivan Tsarevich i Seryy Volk 6,Family,5.7,93,N/A
Daaru Na Peenda Hove,Family,7.5,2300,1h 51m
Stinky Summer,Family,5.4,54,1h 30m
SuperKlaus,Family,4.3,204,1h 28m
Sabari,Family,6.5,5400,2h 9m
Little Town,Family,6.8,11,1h 30m
Magic Beach,Family,5.6,60,1h 20m
Die Heinzels: Neue Mützen Neue Mission,Family,6.4,98,1h 16m
Singapore Saloon,Family,6.0,1300,2h 17m
Juf Braaksel en de Geniale Ontsnapping,Family,4.1,62,1h 23m
Brother,Family,6.2,2300,2h 20m
Letuchiy korabl,Family,3.8,302,1h 40m
Zak & Wowo: The Legend of Lendarys,Family,5.7,103,1h 25m
Saint Nick of Bethlehem,Family,9.0,103,1h 33m
Oru Kadha Parayum Neram,Family,9.1,340,N/A
Inanimate Insanity II: The Movie,Family,8.4,236,1h 46m
Laggam,Family,8.3,5100,2h 10m
LasseMajas detektivbyrå - Maskoten som försvann,Family,6.0,62,1h 30m
Haydi Tut Elimi,Family,7.0,29,1h 53m
Kvitebjørn,Family,5.9,73,1h 25m
Depth of Field,Family,8.4,35,N/A
Chhota Bheem and the Curse of Damyaan,Family,4.8,2300,2h 25m
DeAr,Family,5.1,1300,2h 12m
Scooped,Family,4.7,48,1h 24m
Sri Sri Sri Raja Vaaru,Family,N/A,48,2h 27m
My Private Line to God,Family,6.9,86,N/A
Chitra,Family,4.3,16,2h 5m
Sieger Sein,Family,6.5,185,1h 59m
Maya donne-moi un titre,Family,6.4,60,1h 1m
Luv Ki Arrange Marriage,Family,3.9,4500,2h 15m
Vishesham,Family,6.7,1400,2h 16m
Dear Family,Family,6.7,64,1h 56m
Superkrachten voor je hoofd,Family,7.3,199,1h 32m
Finding Christmas,Family,6.2,13,N/A
Igrisca ne damo!,Family,7.2,29,1h 19m
Thookudurai,Family,4.2,2300,2h 5m
Aanandhapuram Diaries,Family,7.1,2500,1h 55m
Spirit of Friendship,Family,4.2,76,1h 25m
Si Juki the Movie: Harta Pulau Monyet,Family,6.0,127,1h 47m
Not a Clue,Family,8.6,6,N/A
Blended Christmas,Family,6.2,66,N/A
Kallu Compound 1995,Family,7.9,2000,2h 20m
Joy of Horses,Family,5.9,171,1h 30m
Baii Ga,Family,4.2,65,2h 14m
Heidi,Family,6.0,6,1h 40m
Masha i Medved v kino: Park chudes,Family,7.6,19,58m
14 Days Love,Family,6.9,11,1h 52m
Daye: Seret ahl el Daye,Family,7.9,18,1h 44m
Christmas Carole,Family,4.2,101,1h 33m
Inazuma Eleven Movie: The Legendary Kickoff,Family,8.3,6,N/A
Carol,Family,8.0,51,1h 55m
Krispy Rishtey,Family,6.5,70,2h 13m
Mees Kees op eigen benen,Family,6.0,39,1h 22m
For Prophet,Family,5.5,105,1h 45m
The Magic Penguin,Family,3.5,29,1h 29m
Håkan Bråkan 2,Family,5.3,142,1h 32m
The Hedgehog,Family,6.7,680,1h 44m
Kayip Kamyon,Family,4.7,23,N/A
Tri kota. Zimnie kanikuly,Family,6.6,34,1h 5m
Yaren Leylek,Family,5.4,33,1h 35m
Hope,Family,5.3,41,N/A
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Family,6.4,10,1h 14m
Too Old for Fairy Tales 2,Family,4.8,409,1h 35m
The Land of Morning Calm,Family,6.5,35,1h 53m
Ognivo,Family,5.5,235,1h 45m
A Christmas Miracle,Family,5.9,69,1h 28m
Super papa,Family,5.2,125,1h 30m
Luigi's Mansion,Family,6.2,19,1h
Little Red Sweet,Family,6.0,21,1h 32m
Feng Zi Lao Ba,Family,4.8,5,1h 25m
Captain Avispa,Family,5.7,179,1h 36m
Jait Re Jait,Family,8.4,187,N/A
De Bellinga's: Pretpark op stelten,Family,3.1,129,1h 10m
Yolki 11,Family,4.7,176,1h 32m
Tri bogatyrya. Ni dnya bez podviga,Family,5.7,71,1h 1m
The Lamb,Family,6.8,36,1h 25m
Ducobu passe au vert!,Family,4.0,131,1h 30m
Ne odna doma,Family,4.2,84,1h 19m
Robotia the Movie,Family,7.6,30,1h 26m
Troy the Bharat Putra,Family,5.5,33,2h 14m
Last Defenders of Monogamy,Family,5.3,393,1h 24m
Steal the Naughty List,Family,6.3,125,1h 30m
Our Church Thinks We're Dating,Family,7.5,59,1h 42m
